username,country,score,date_written,positive,negative,tags
Norma,España,8.0,Escrito en 10 de diciembre de 2023,Ubicación inmejorable,Muy caro y la limpieza mejorable (habia comida de huespedes anteriores en la nevera). Es incomodo que el baño este en la planta de abajo y el dormitorio arriba. Fue muy caro,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Dúplex', '•Estancia de 2 noches', '•Enviado por móvil']"
Francisco,España,9.0,Escrito en 10 de diciembre de 2023,"La ubicación, la amplitud y la limpieza de la habitación; es tal cual aparece en las fotos o incluso mejor. También el hecho de poder acceder con libertad sin necesidad de lidiar con personal.","Solicité cama doble por ocasión especial, pero no se me facilitó. La hora de salida a las 11 de la mañana la retrasaría un poco. Medio te obligan a contratar el late check out.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Juan,España,9.0,Escrito en 7 de diciembre de 2023,"Ubicación, decoración, sistema de entrar con la aplicación, presión  y caudal agua caliente, camas cómodas, vistas….",El olor a desagüe del baño.,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Lola,España,5.0,Escrito en 29 de julio de 2023,"Edificio bonito, muy céntrico, limpio y bien conservado","La televisión del apartamento no se corresponde con la que figura en las fotos, era una televisión pequeñita.
Una de las noches saltó la alarma y estuvo soñando ininterrumpidamente durante una hora.","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Ana,España,6.0,Escrito en 22 de julio de 2023,"La ubicación excepcional. Centro de Málaga, cerca de todo tipo de comercios y restaurantes",Control de los huéspedes. Tuvimos una piara de guiris poniendo música y metiendo gritos en el rellano desde las 5 de la mañana hasta las 8.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Antonio,España,10.0,Escrito en 19 de julio de 2023,La ubicación,Un balcón o terraza,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Pedro,España,10.0,Escrito en 17 de julio de 2023,Situación,Algo de ruido x la noche en la calle,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Belen,España,10.0,Escrito en 16 de julio de 2023,Ubicación perfecta en pleno centro de Málaga y todo muy nuevo con decoración bonita y además muy limpio. Nos encantó. Fácil check in con llave digital en tu móvil.,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 14 de julio de 2023,Situación y limpieza,Me gustó todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Monica,España,6.0,Escrito en 9 de mayo de 2023,la ubicación es buena ya que está en centro turistico de Málaga.,"sobre todo las ventanas de los miradores,  dos de ellas no cerraban bien y se oia todo el ruido   sobre todo el nocturno por estar en centro de ocio de bares y restaurantes (muy dificil dormir ) tampoco tenia contraventanas un mirador por lo que entraba   la luz. Lo demás está bien salvo el armario muy pequeño y solo con barra ,","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 4 noches']"
Natalia,España,10.0,Escrito en 22 de abril de 2023,Todo,,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Julio,España,10.0,Escrito en 9 de abril de 2023,La amabilidad del personal,Nada,"['•Viaje de ocio', '•Grupo de amigos', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Eva,España,6.0,Escrito en 3 de abril de 2023,El desayuno fantástico,Sofá cama para los niños,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Tirado,España,10.0,Escrito en 27 de marzo de 2023,la ubicación la limpieza,,"['•Viaje de ocio', '•Pareja', '•Estudio Dúplex', '•Estancia de 1 noche', '•Enviado por móvil']"
Jose,España,6.0,Escrito en 18 de marzo de 2023,no. Nada que ver con fotos,Ruidoso. incómodo. Agobiante,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Javier,España,3.0,Escrito en 8 de marzo de 2023,"Esta muy bien ubicado y todo muy limpio,tiene muchas toallas extra y menaje","No dispone de portero automático, solo entras con código y si viene alguien tienes que bajar a abrirle o darle el código , un verdadero fastidio","['•Viaje de ocio', '•Persona que viaja sola', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Fabio,España,1.0,Escrito en 4 de marzo de 2023,,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,5.0,Escrito en 26 de febrero de 2023,,"No hemos podido descansar por el ruido de la calle, íbamos con niños y era imposible   ya que el salón era un botellon hasta las 6 de la mañana. En la habitación se escuchaba bastante menos pero en el salón imposible.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Anónimo,España,10.0,Escrito en 2 de noviembre de 2025,,La ducha perdía agua y se mojó bastante el baño. Para estancia de una noche no fue un problema mayor,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Anónimo,España,10.0,Escrito en 29 de julio de 2023,"Las instalaciones, la limpieza y la ubicación perfecto.","No me ha gustado la recepción, era todo digital y cuando quería hacer consultas tenía que llamar .","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Albert,España,9.0,Escrito en 10 de diciembre de 2025,,,"['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Fernando,España,9.0,Escrito en 2 de diciembre de 2025,,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Virginia,España,9.0,Escrito en 8 de noviembre de 2025,,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Angel,España,9.0,Escrito en 19 de octubre de 2025,,,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Jose,España,7.0,Escrito en 31 de julio de 2025,,,"['•Viaje de negocios', '•Persona que viaja sola', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Margarita,España,8.0,Escrito en 4 de mayo de 2025,,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,9.0,Escrito en 30 de marzo de 2025,,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Rojas,España,9.0,Escrito en 24 de marzo de 2025,,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ines,España,10.0,Escrito en 23 de febrero de 2023,,,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Denisas,España,10.0,Escrito en 11 de febrero de 2023,,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Anónimo,España,8.0,Escrito en 27 de agosto de 2025,,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche']"
