username,country,score,date_written,positive,negative,tags
Gloria,España,10.0,Escrito en 8 de enero de 2026,"Ubicación céntrica, sistema de check-in, instalaciones",El lavavajillas no funcionaba,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Echandia,España,10.0,Escrito en 7 de enero de 2026,"Demasiado hermoso, muy cómodo y excelente ubicación. Sin duda volveremos.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Angel,España,8.0,Escrito en 5 de enero de 2026,Está bastante nuevo,Tiene calefacción por suelo radiante. Nos dieron una habitación que no tenía encendida la calefacción y estaba a 17 grados. Tardó horas en coger temperatura por la inercia que tiene este tipo de calefacciones. Una vez cogida la temperatura ya se estuvo bien.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Antonio,España,8.0,Escrito en 5 de enero de 2026,Ubicación y equipamiento del apartamento,La habitación olía mucho a tabaco (algo que nos resulta especialmente desagradable)...se fue eliminando tras ventilar y pasar algunas horas pero al principio de la estancia resultó molesto.,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Vasquez,España,10.0,Escrito en 4 de enero de 2026,"Servicio de primera, precios muy accesibles y muy cerca al centro, lo tiene todo.
Seguro repetiré.",,"['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Helenca,España,9.0,Escrito en 3 de enero de 2026,Las instalaciones eran nuevas y modernas,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Andrea,España,9.0,Escrito en 2 de enero de 2026,"El apartamento está muy nuevo y limpio. Tal cual se muestra en la foto. Todo muy bonito y cuidado al detalle. 
Además te dejan un pack de bienvenida con dos botellitas de agua, una bolsita pequeña de patatas fritas y dos cápsulas de café.",Lo peor que tiene el apartamento es el sofá cama. Está muy usado y es súper incómodo. No lo recomiendo para dormir. Hasta para sentarse se hunde.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Xavier,España,9.0,Escrito en 1 de enero de 2026,Instalaciones nuevas y comodas,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Raquel,España,8.0,Escrito en 29 de diciembre de 2025,Muy amplio y preparado,La persona que duerme en el sofá cama está algo más incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Juan,España,8.0,Escrito en 22 de diciembre de 2025,La ubicación,"Las habitaciones, se suponía que constaba el apartamento de dos habitaciones grandes y eso no fue lo que encontramos","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche']"
