username,country,score,date_written,positive,negative,tags
Isaac,España,10.0,Escrito en 21 de diciembre de 2025,"Alojamiento genial. Cocina completamente equipada, lavadora, microondas con grill. Baño nuevo, todo impecable.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Montero,España,7.0,Escrito en 12 de diciembre de 2025,"Lo que mas me gustó fue la ubicación ya que no estabas en pleno centro, pero muy cerquita para llegar andando.","No me gustó pagar un precio de 4 personas por un apartamento, y que tengan un sofá cama, que menos mal que íbamos personas jóvenes, porque sino, es imposible dormir ahí, por lo incómodo que era. Y tampoco me gustó el parking, ya que es un añadido a la reserva, no es barato a mi parecer, y el primer día que llegamos un poco mas tarde, nos las vimos y nos las deseamos para poder aparcar.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Gómez,España,7.0,Escrito en 11 de diciembre de 2025,,"En mi reserva pone escritorio, y no tuve, viajo por trabajo y era una necesidad, tuve que trabajar en la encimera de la isla de la cocina con sillas altas sin respaldo y he acabado con dolor de espalda.Tampoco había tostadora. Compre algo de pan para tostar y no lo pude hacer en la tostadora.","['•Viaje de negocios', '•Persona que viaja sola', '•Apartamento Estudio', '•Estancia de 2 noches']"
Cristina,España,9.0,Escrito en 10 de diciembre de 2025,"Ubicación excelente. Muy limpio, la cama muy cómoda.
La cocina pequeña pero tenía de todo, hasta lavavajillas y lavadora
Luminoso",Lo único malo fue que el nórdico del sofá cama era de 90cm cuando la cama era mucho más ancha,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Manuel,España,10.0,Escrito en 8 de diciembre de 2025,Limpieza y decoración,Almohadas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Jose,España,8.0,Escrito en 8 de diciembre de 2025,"Me gusto, la limpieza, centrico. A 10 minutos ( o menos) del centro historico. Servicios como ( supermercado, cafeterias, restaurantes)  a 1 minuto","El tener que hacer el check-in uno mismo, aunque no me resulto complicado, creo que seria mucho mejor el que habria alguna persona para poder hacerlo .El tener la salida a las 11h, normalmente las salida suele ser entre las 12 y 13 horas, aunque comprendo que hay que realizar limpieza, pero una hora mas estaria muy bien. Y el no tener una consigna o un lugar para poder dejar maletas, bien como servicio del alojamiento o bien de pago.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Elalbarracin,España,7.0,Escrito en 8 de diciembre de 2025,Buena ubicación. Los baños perfectos. Las camas bien. El sofá cama una castaña.,El olor a humo de la habitación. Pero como no hay recepción no puedes protestar a nadie.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Gemma,España,8.0,Escrito en 7 de diciembre de 2025,"Todo, la ubicación, lo fácil que es acceder y lo bien comunicado que está con todo","Hacía muchísima calor, aunque es diciembre pero en el apartamento hacía mucha calor .. por todo para mi fué perfecto ! Lo único la calefacción demasiado alta","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Zamara,España,10.0,Escrito en 6 de diciembre de 2025,Todo,Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Ane,España,9.0,Escrito en 3 de diciembre de 2025,Centrico y acogedor.,"Al ser el octavo piso las ventanas solo se abre en batiente, por lo que pasamos un poco de calor.","['•Viaje de negocios', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Dolores,España,9.0,Escrito en 2 de diciembre de 2025,"La ubicación, la limpieza y la comodidad del apartamento. Muy fácil y muy rápido contactar con la conserjería 24 horas.",Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Elixabete,España,8.0,Escrito en 2 de diciembre de 2025,,El sofa cama es muy incomodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Sanz,España,7.0,Escrito en 1 de diciembre de 2025,La ubicación,Un poco caro para lo que ofrece.,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
Touriño,España,10.0,Escrito en 28 de noviembre de 2025,Nos encantó,Nos gusto todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Javier,España,9.0,Escrito en 9 de septiembre de 2025,"Localización y posibilidad de mascotas, todo estaba muy nuevo y era de fácil acceso",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Laura,Argentina,9.0,Escrito en 8 de septiembre de 2025,"Muy buena ubicación, parking en el propio edificio. Instalaciones muy nuevas, limpias y cómodas. El apartamento estaba bien equipado. Tiene un supermercado justo al lado.","No hay personal de recepción físico, todo es con códigos lo cual puede ser dificultoso para personas mayores. Faltan enchufes en la encimera. El sofá cama está bien para niños o jóvenes, pero para adultos puede ser algo incómodo. Faltaban elementos de limpieza básicos como escoba, escobilla de baño etc","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']"
M,España,9.0,Escrito en 8 de septiembre de 2025,Buenísima ubicación.,"El sofá cama no es nada apropiado para la calidad del  apartamento .Es muy incómodo.Tuvimos que tirar el colchón al suelo.
Echamos de menos un cepillo,recogedor y fregona.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Jbernal,España,8.0,Escrito en 8 de septiembre de 2025,"Genial apartamento para la familia, muy cerca del centro. La atención al cliente es rápida y eficiente.","El sofá cama no es muy cómodo para un adulto y la lavadora/secadora no funcionó como esperábamos, la ropa no se secaba!","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches']"
Laura,España,9.0,Escrito en 7 de septiembre de 2025,"Todo muy limpio, excelente ubicación, encontramos zona blanca para aparcar en las inmediaciones.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
Sandro,España,8.0,Escrito en 5 de septiembre de 2025,La ubicación y la comodidad de  tener parquin,Lo único que debería de tener es un cepillo un recogedor y cubo con fregona ya que    no pasan a limpiar pues uno mismo puede mantener la limpieza,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Sheila,España,9.0,Escrito en 4 de septiembre de 2025,Está muy equipado,Le faltaba un poco más de papel higiénico,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Rafael,España,9.0,Escrito en 1 de septiembre de 2025,La ubicación,El sofá cama muy ruidoso,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Laura,España,9.0,Escrito en 1 de septiembre de 2025,"Muy bien situado, apartamento cómodo y con todo lo necesario para pasar unos dias (horno, microondas, lavadora...)",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Juan,España,8.0,Escrito en 31 de agosto de 2025,La ubicación.,Nos dieron habitación a una zona interior,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Ocaña,España,9.0,Escrito en 30 de agosto de 2025,Muy buena ubicación. Instalaciones nuevas y modernas. Muy acogedoras y a 5 minutos del centro de la ciudad.,"Es sofá cama es muy incómodo e inapropiado para un establecimiento de estas características. El desayuno lo sirven en una cafetería independiente enfrente del edificio de apartamentos, aunque es cierto que desayunamos estupendamente.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Gonzalo,España,9.0,Escrito en 30 de agosto de 2025,"Limpieza, acceso, ubicación",El colchón no era muy cómodo,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Enrique,España,10.0,Escrito en 30 de agosto de 2025,"Ubicación muy buena, apartamento muy cómodo y excelente para viajar con perro",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Rincon,España,9.0,Escrito en 30 de agosto de 2025,La instalación  y la atención muy bien.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carol,España,8.0,Escrito en 29 de agosto de 2025,"Todo impecable, limpio, cómodo, bonito, muy céntrico, acceso fácil y automatizado...",La única pega es que me parece caro.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Blanca,España,10.0,Escrito en 29 de agosto de 2025,"Limpieza, ubicación y silencio",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Laura,España,9.0,Escrito en 29 de agosto de 2025,La limpieza y ubicación.,Se echa en parte una cara visible del alojamiento.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches']"
Omisae,España,10.0,Escrito en 29 de agosto de 2025,La limpieza,,"['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 12 noches', '•Enviado por móvil']"
Carlos,España,8.0,Escrito en 28 de agosto de 2025,Ubicación,La cama del sofá,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Gabriela,España,9.0,Escrito en 28 de agosto de 2025,"La comodidad del apartamento. Acogedor y amplio
Su ubicación.","El check-in,  para mi gusto, un poco tarde, hasta las 15:00h no es posible entrar y sin posibilidad de dejar las maletas en el hotel si llegas antes.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Gilberto,España,10.0,Escrito en 28 de agosto de 2025,La comodidad y amplitud de las estancias,Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']"
Carlos,España,9.0,Escrito en 27 de agosto de 2025,"Muy cerca del centro, limpio y comodo",El sistema de apertura con código es incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Manuel,España,9.0,Escrito en 27 de agosto de 2025,"Está ubicado en una zona tranquila donde se encuentra fácilmente aparcamiento. Además, está a 10 minutos andando del centro.",El sofá cama no es cómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Eduardo,España,8.0,Escrito en 25 de agosto de 2025,La amplitud,No te ayudan con el check in,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Estrella,España,8.0,Escrito en 25 de agosto de 2025,"La ubicación, limpieza del apartamento, silencia y desayuno","Por ponerle una pega, cuando abres el sofá cama queda muy estrecho y no se puede pasar","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Miguel,España,10.0,Escrito en 1 de agosto de 2025,Impecable,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Garazi,España,10.0,Escrito en 1 de agosto de 2025,"Muy céntrico, limpio, cómodo y amplio. Fácil entrada.",Me gustó todo,"['•Viaje de ocio', '•Grupo', '•Apartamento Ático', '•Estancia de 1 noche', '•Enviado por móvil']"
Marta,España,9.0,Escrito en 1 de agosto de 2025,Limpieza y apartamento genial. Bien ubicado y apartamento bueno y bonito,El sofá cama con un colchón muy malo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Paola,España,7.0,Escrito en 31 de julio de 2025,La ubicación,"En vuestro anuncio, lo anuncian como apartahotel de 4 estrellas y la realidad es que es de 2","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Arancha,Suiza,10.0,Escrito en 31 de julio de 2025,Estaba todo muy limpio y nuevo. La calle donde estaba ubicado estaba súper bien tenía un montón de tiendas y restaurantes cerca,Que tuvimos que  montar nosotros el sofá cama y era un poco lío,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Manuel,España,8.0,Escrito en 31 de julio de 2025,,La ducha no traga el agua,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Jose,España,8.0,Escrito en 31 de julio de 2025,La ubicación y la limpieza,"Que éramos 2 parejas y había dos camas,una de matrimonio y una pequeña. Una persona  tuvo q dormir en el sofá cama","['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Juan,España,10.0,Escrito en 29 de julio de 2025,Proximidad con el centro,Parking muy justo para coche grande,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Javier,España,10.0,Escrito en 28 de julio de 2025,Apartamento muy limpio y cómodo. A 20 minutos andando del centro. Aparcamiento gratuito en calles próximas.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Rut,España,8.0,Escrito en 28 de julio de 2025,El apartamento en sí,Los colchones,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Jesus,España,9.0,Escrito en 28 de julio de 2025,La ubicación y la limpieza,"el sofa cama era muy blando para dormir, muy incómodo","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Carolina,España,7.0,Escrito en 28 de julio de 2025,La situación y las instalaciones.,"Que todo fuera por la aplicación o por mail, aunque puedes llamarlos del telefonillo de la entrada, por nosotros no, pero vimos gente mayor liada. La relación calidad-precio es excesiva. No vino nadie a limpiar y todavía no tengo claro si es por no pedirlo por la aplicación. Te dejaban un kit de limpieza, pero era escaso para los 5 días que íbamos. Y lo peor es la wifi compartida, va fatal y además la televisión no es smart, y no hubo manera de conectar el crome cast por la wifi, lo comunicamos y nada.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Jose,España,9.0,Escrito en 27 de julio de 2025,Ubicación y equipamiento,"La nevera, por la parte posterior, a veces vibraba en exceso","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Sara,España,9.0,Escrito en 27 de julio de 2025,"Un apartamento bonito y moderno ideal para viajar una familia de cuatro miembros algunos días. Equipada con una cocina totalmente nueva con todos los pequeños electrodomésticos modernísimos. 
Cuenta con un dormitorio con armario y cómoda de tres cajones y una cama muy confortable, tanto colchón como almohadas. El sofá cama del salón quizás no tan cómodo, pero adecuado para dos niños o adolescentes.","Echamos en falta más luz artificial sobre todo en el baño y la falta estropajo, bayeta, una escoba con recogedor y fregona con cubo para mantener limpio el apartamento durante nuestra estancia.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Sergio,España,9.0,Escrito en 26 de julio de 2025,"Es un apartahotel muy comodo, bien ubicado y muy limpio. Con cocina bien equipada. Los muebles y el apartamento muy nuevo. Se entra fácil de manera on lline, con la clave que te envían o su aplicación. Y el garage, aunque de pago, es un punto a favor de la instalación.","Por decir algo, que no había cafetera en la cocina.
La echamos en falta.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Pedro,España,8.0,Escrito en 25 de julio de 2025,"Muy nuevo y todo lo necesario para unos dias, buena ubicación.",El sofá cama muy incómodo para dos personas,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Laura,España,9.0,Escrito en 25 de julio de 2025,Luminoso..céntrico..muy bien equipado..nos obsequiaron con dos botellas de agua y un snack y un pack de limpieza..cama y sofá cama muy cómodo..no vimos a nadie del personal..rodeado de bares y cafeterías muy ricas,Tuvimos un poco de dificultad al abrir la puerta del edificio pero se resolvió sin problema,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ceballos,España,8.0,Escrito en 25 de julio de 2025,,No me gustó que no tienen persianas y entra claridad a las habitaciones.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,7.0,Escrito en 25 de julio de 2025,"Muy bien ubicado, muy bien equipado, con lavadora, lavavajillas, horno microondas... decoración muy moderna y apartamento amplio, cafeterías para desayunar y en la misma calle hay zona de aparcamiwnto gratuito.",Que el sofá  se hundía cuando te sentabas y las tapicerias de sillones y cojines estaba con cercos de manchas al igual.que una de las fundas de almohada interiores que tenia unos cercos amarillos increibles de suciedad.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Noelia,España,9.0,Escrito en 25 de julio de 2025,Estaba muy cuidado.,Que no tuviera una escoba ni fregona,"['•Familia con niños pequeños', '•Apartamento con terraza', '•Estancia de 2 noches', '•Enviado por móvil']"
M,España,8.0,Escrito en 25 de julio de 2025,"Esta a 10 mins de la catedral de Vitoria, es una finca de pisos turísticos que están muy limpios y nuevos y se accede con código",El sofá cama era horrible....no es nada intuitivo para abrirlo y se cerraba cada dos por tres..no descansaron nada las personas que durmieron ahí,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
María,España,8.0,Escrito en 25 de julio de 2025,"Bonito, buena ubicación, cocina bien equipada, buen detalle de bienvenida y el kit de limpieza.","Eché de menos una escoba y recogedor en el apartamento para el día a día a parte de la limpieza que se haga por parte de la empresa.
El sofá cama es incómodo para dormir más de un día.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Aurora,España,8.0,Escrito en 25 de julio de 2025,"Mal el horario de entradas,,debe ser cuando el cliente llegue, sea 8hs , 12"",,,,o 3de la mañanas, cada usuario es diferente y su estancia termina en 24hs, no cuando ustedes digan,,un  hotel está para éso dar servicio de hospedaje, no a su conveniencia,, mucho ruido las hb de frente a la calle gastéiz,,debería tener otro tipo de ventanas.","Garaje y desayunos, por el precio de estancia, debería incluir","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Teresa,España,7.0,Escrito en 24 de julio de 2025,"La ubicación y la comodidad de tener parking a 14€/día. Estaba todo muy bien equipado, con un kit de bienvenida y un kit de limpieza, el apartamento tiene todo lo necesario para estar en Vitoria unos días. Para los precios que hay de alojamientos en el País Vasco en general, este está muy bien.",El check in y todo el acceso al hotel es digital. Tener que estar poniendo el código para abrir cada puerta es un poco jaleo pero bueno. El sofá cama deberían renovarlo...,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Monica,España,7.0,Escrito en 24 de julio de 2025,Ubicación y lavabo y cama habitación muy cómoda,"Sofá cama incómodo, aire solo iba en la habitación y faltaba la plancha para la ropa","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Graciela,Argentina,10.0,Escrito en 31 de mayo de 2025,La comodidad y la ambientación,Un poco complicado el checking,"['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
María,España,10.0,Escrito en 31 de mayo de 2025,"Acogedor, bien organizado, amplitud, luz externa, impecable, muy completo en servicios( lavadora, horno, cafetera...), el suelo precioso 💖",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Pilar,España,8.0,Escrito en 28 de mayo de 2025,Todo muy nuevo. A 10 minutos del casco antiguo,,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 28 de mayo de 2025,Todo,Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento con terraza', '•Estancia de 2 noches', '•Enviado por móvil']"
Nayibe,España,7.0,Escrito en 27 de mayo de 2025,Las habitaciones están muy bien y son muy cómodas y modernas.,"En nuestro caso, reservamos el alojamiento por Booking: 3 habitaciones para 12 personas. En el “checking online”, yo, que era la titular, tuve que mandar hasta un “selfie”. Es todo “online” (“checking”, llaves…) con sus ventajas y desventajas de perder la calidez humana.  Además, nos pidieron una fianza de 200€ que no ponía en ningún lado al reservar y pagar las habitaciones completas al momento (hace dos días que nos fuimos y aún no tengo la fianza). Son muy insistentes con la hora de salida del alojamiento: no puedes entrar hasta las 15:00 pero para las 10:00 de la mañana ya teníamos un correo para dejar el alojamiento. Me parece un detalle bastante fuera de lugar.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Bettcy,España,10.0,Escrito en 27 de mayo de 2025,Estaba muy limpio,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Aurora,España,10.0,Escrito en 26 de mayo de 2025,Perfecta ubicación. Perfectas las instalaciones,Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Jose,España,8.0,Escrito en 26 de mayo de 2025,Era bastante funcional y estaba muy limpio.  Andando se iba al centro en 10 minutos y tenías de todo alrededor.,"La insonorizacion de la ventana del dormitorio no era demasiado buena.  Hubo un problema con una alarma que se encendió en el pasillo en el que estábamos y nadie vino a informar que pasaba.  Al día siguiente en recepción tampoco sabían que había ocurrido.  Ni se habían enterado del suceso,  lo cual me da que pensar en el sistema de seguridad si ocurre algo de verdad.","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Rebeca,España,9.0,Escrito en 25 de mayo de 2025,"La atención del personal excelente, muy amables. 
La ubicación. Apartamento moderno y bonito.","Por decir algo el sofá cama se movía un poco, pero era muy comodo.","['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Oihane,España,7.0,Escrito en 25 de mayo de 2025,,No los iba la clave de abajo,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
