Palabra,Frecuencia
lejos,1
directo,1
cómoda,1
empezar,1
anterior,1
feb,1
hicimos,1
sofascamas,1
incómodos,1
hundidos,1
inseguro,1
pasamos,1
totalmente,1
doblado,1
horroroso,1
alguien,1
espalda,1
cambiar,1
faltaban,1
haberse,1
concretado,1
anteriormente,1
puesto,1
valorado,1
cosa,1
faltaba,1
lavaba,1
lugar,1
sentía,1
segura,1
dd,1
rnrsrece,1
trato,1
pésimo,1
denunciable,1
pedí,1
recibí,1
contestación,1
actitud,1
desagradable,1
empleada,1
momento,1
preguntaron,1
íbamos,1
supusimos,1
empleado,1
repuso,1
vio,1
aplicaron,1
cargo,1
debería,1
causando,1
hundido,1
central,1
apertura,1
llave,1
aplicacion,1
funciono,1
acaba,1
contestar,1
aún,1
alojados,1
anulando,1
código,1
acabar,1
febrero,1
estipulado,1
luz,1
gratuita,1
caro,1
igual,1
estacionamiento,1
corta,1
visto,1
pagué,1
és,1
normal,1
adicional,1
ponen,1
cositas,1
pusieron,1
cuantas,1
conclusión,1
echarnos,1
única,1
ve,1
diária,1
terraza,1
salón,1
impersonal,1
automático,1
paga,1
maleabilidad,1
intentamos,1
media,1
check,1
in,1
mañana,1
unas,1
