username,country,score,date_written,positive,negative,tags,hotel
Miriam,España,8.0,Escrito en 9 de noviembre de 2025,"La ubicación, se aparca fácil por la zona. Para ir en familia haces uso de la cocina y lavadora.","No había detergente para la lavadora ni lavavajillas, pedimos y no les quedaba. En 7 días no pasaron a limpiar ninguna vez.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']",Vitoria
Vanesa,España,8.0,Escrito en 9 de noviembre de 2025,La ubicación a 10 minutos del centro.,Sofá cama un poco incómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gema,España,10.0,Escrito en 9 de noviembre de 2025,Excelente,Si,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Felipe,España,10.0,Escrito en 8 de noviembre de 2025,Muy confortable y con detalles,La calefacción estaba muy alta,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Mar,España,8.0,Escrito en 2 de noviembre de 2025,"Me gustó el detalle del regalo ,la caja con snack.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Maite,España,8.0,Escrito en 31 de octubre de 2025,"Un  bonito apartamento perfecto para visitar Vitoria y los alredederes. Bien situado, y bien equipado. Recepción virtual 24/7 fácil de utilizar.",Hemos echado en falta algo más de menaje en la cocina.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Alexandra,Colombia,10.0,Escrito en 31 de octubre de 2025,Seguridad u comodidad súper impecables ubicación 10/10,,"['•Viaje de negocios', '•Pareja', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Enrique,España,10.0,Escrito en 30 de agosto de 2025,"Ubicación muy buena, apartamento muy cómodo y excelente para viajar con perro",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Rincon,España,9.0,Escrito en 30 de agosto de 2025,La instalación  y la atención muy bien.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Carol,España,8.0,Escrito en 29 de agosto de 2025,"Todo impecable, limpio, cómodo, bonito, muy céntrico, acceso fácil y automatizado...",La única pega es que me parece caro.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Blanca,España,10.0,Escrito en 29 de agosto de 2025,"Limpieza, ubicación y silencio",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Laura,España,9.0,Escrito en 29 de agosto de 2025,La limpieza y ubicación.,Se echa en parte una cara visible del alojamiento.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches']",Vitoria
Omisae,España,10.0,Escrito en 29 de agosto de 2025,La limpieza,,"['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 12 noches', '•Enviado por móvil']",Vitoria
Carlos,España,8.0,Escrito en 28 de agosto de 2025,Ubicación,La cama del sofá,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gabriela,España,9.0,Escrito en 28 de agosto de 2025,"La comodidad del apartamento. Acogedor y amplio
Su ubicación.","El check-in,  para mi gusto, un poco tarde, hasta las 15:00h no es posible entrar y sin posibilidad de dejar las maletas en el hotel si llegas antes.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gilberto,España,10.0,Escrito en 28 de agosto de 2025,La comodidad y amplitud de las estancias,Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Carlos,España,9.0,Escrito en 27 de agosto de 2025,"Muy cerca del centro, limpio y comodo",El sistema de apertura con código es incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Manuel,España,9.0,Escrito en 27 de agosto de 2025,"Está ubicado en una zona tranquila donde se encuentra fácilmente aparcamiento. Además, está a 10 minutos andando del centro.",El sofá cama no es cómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Eduardo,España,8.0,Escrito en 25 de agosto de 2025,La amplitud,No te ayudan con el check in,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Estrella,España,8.0,Escrito en 25 de agosto de 2025,"La ubicación, limpieza del apartamento, silencia y desayuno","Por ponerle una pega, cuando abres el sofá cama queda muy estrecho y no se puede pasar","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
